,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
63,1400000US06061021603,24,36,06,061,021603,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
64,1400000US06061021604,66,51,06,061,021604,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
65,1400000US06061021801,70,47,06,061,021801,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
66,1400000US06061021802,132,162,06,061,021802,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
67,1400000US06061021901,66,47,06,061,021901,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
68,1400000US06061021902,81,86,06,061,021902,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
69,1400000US06061022002,161,68,06,061,022002,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
70,1400000US06061022011,60,24,06,061,022011,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
71,1400000US06061022013,103,64,06,061,022013,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
72,1400000US06061022014,46,36,06,061,022014,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
73,1400000US06061022100,76,51,06,061,022100,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
74,1400000US06061022200,42,43,06,061,022200,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
75,1400000US06061022300,9,12,06,061,022300,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
76,1400000US06061022400,100,35,06,061,022400,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
77,1400000US06061022500,184,94,06,061,022500,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
78,1400000US06061022600,242,99,06,061,022600,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
79,1400000US06061022800,242,92,06,061,022800,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
80,1400000US06061022900,302,106,06,061,022900,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
