GEO_ID,value,state,MarginOfError,county,sample_level,Geo_Name,variable_code,variable_name,variable_category,year_sample,dataset,census_geom_year,TRPAID
32031,11773,32,,031,County,Washoe County,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,320312000
32510,1751,32,,510,County,Carson City County,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,325102000
06000,1329400,06,,000,State,CA,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,060002000
32000,72775,32,,000,State,NV,P012028,Female: 5 to 9 years,Age,2000,dec/sf1,2000,320002000
06017,6344,06,,017,County,El Dorado County,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,060172000
06061,9577,06,,061,County,Placer County,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,060612000
32005,1572,32,,005,County,Douglas County,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,320052000
32031,11430,32,,031,County,Washoe County,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,320312000
32510,1696,32,,510,County,Carson City County,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,325102000
06000,1253687,06,,000,State,CA,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,060002000
32000,67570,32,,000,State,NV,P012029,Female: 10 to 14 years,Age,2000,dec/sf1,2000,320002000
06017,3602,06,,017,County,El Dorado County,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,060172000
06061,5536,06,,061,County,Placer County,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,060612000
32005,904,32,,005,County,Douglas County,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,320052000
32031,6266,32,,031,County,Washoe County,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,320312000
32510,1002,32,,510,County,Carson City County,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,325102000
06000,708107,06,,000,State,CA,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,060002000
32000,37243,32,,000,State,NV,P012030,Female: 15 to 17 years,Age,2000,dec/sf1,2000,320002000
06017,1857,06,,017,County,El Dorado County,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,060172000
06061,2812,06,,061,County,Placer County,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,060612000
32005,362,32,,005,County,Douglas County,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,320052000
32031,4714,32,,031,County,Washoe County,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,320312000
32510,533,32,,510,County,Carson City County,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,325102000
06000,471155,06,,000,State,CA,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,060002000
32000,24058,32,,000,State,NV,P012031,Female: 18 and 19 years,Age,2000,dec/sf1,2000,320002000
06017,668,06,,017,County,El Dorado County,P012032,Female: 20 years,Age,2000,dec/sf1,2000,060172000
06061,1185,06,,061,County,Placer County,P012032,Female: 20 years,Age,2000,dec/sf1,2000,060612000
32005,139,32,,005,County,Douglas County,P012032,Female: 20 years,Age,2000,dec/sf1,2000,320052000
